year,level_1,level_2,value
1957,Total Female Chinese,10 - 14 Years,52361
1957,Total Female Chinese,15 - 19 Years,51969
1957,Total Female Chinese,20 - 24 Years,42948
1957,Total Female Chinese,25 - 29 Years,38760
1957,Total Female Chinese,30 - 34 Years,29853
1957,Total Female Chinese,35 - 39 Years,28270
1957,Total Female Chinese,40 - 44 Years,27779
1957,Total Female Chinese,45 - 49 Years,24531
1957,Total Female Chinese,50 - 54 Years,19532
1957,Total Female Chinese,55 - 59 Years,14733
1957,Total Female Chinese,60 - 64 Years,10782
1957,Total Female Chinese,65 - 69 Years,7720
1957,Total Female Chinese,70 - 74 Years,4700
1957,Total Female Chinese,75 - 79 Years,2520
1957,Total Female Chinese,80 - 84 Years,1053
1957,Total Female Chinese,65 Years & Over,16439
1957,Total Female Chinese,70 Years & Over,8719
1957,Total Female Chinese,75 Years & Over,4019
1957,Total Female Chinese,80 Years & Over,1499
1957,Total Female Chinese,85 Years & Over,446
1957,Total Indians,0  -  4 Years,18843
1957,Total Indians,5  -  9 Years,14413
1957,Total Indians,10 - 14 Years,7743
1957,Total Indians,15 - 19 Years,8632
1957,Total Indians,20 - 24 Years,10123
1957,Total Indians,25 - 29 Years,14151
1957,Total Indians,30 - 34 Years,12936
1957,Total Indians,35 - 39 Years,12256
1957,Total Indians,40 - 44 Years,8941
1957,Total Indians,45 - 49 Years,6817
1957,Total Indians,50 - 54 Years,4242
1957,Total Indians,55 - 59 Years,2761
1957,Total Indians,60 - 64 Years,1188
1957,Total Indians,65 - 69 Years,551
1957,Total Indians,70 - 74 Years,280
1957,Total Indians,75 - 79 Years,111
1957,Total Indians,80 - 84 Years,57
1957,Total Indians,65 Years & Over,1038
1957,Total Indians,70 Years & Over,487
1957,Total Indians,75 Years & Over,207
1957,Total Indians,80 Years & Over,96
1957,Total Indians,85 Years & Over,39
1957,Total Male Indians,0  -  4 Years,9601
1957,Total Male Indians,5  -  9 Years,7224
1957,Total Male Indians,10 - 14 Years,4396
1957,Total Male Indians,15 - 19 Years,5356
1957,Total Male Indians,20 - 24 Years,6343
1957,Total Male Indians,25 - 29 Years,10633
1957,Total Male Indians,30 - 34 Years,10562
1957,Total Male Indians,35 - 39 Years,10323
1957,Total Male Indians,40 - 44 Years,7770
1957,Total Male Indians,45 - 49 Years,5980
1957,Total Male Indians,50 - 54 Years,3711
1957,Total Male Indians,55 - 59 Years,2367
1957,Total Male Indians,60 - 64 Years,957
1957,Total Male Indians,65 - 69 Years,416
1957,Total Male Indians,70 - 74 Years,202
1957,Total Male Indians,75 - 79 Years,91
1957,Total Male Indians,80 - 84 Years,36
1957,Total Male Indians,65 Years & Over,765
1957,Total Male Indians,70 Years & Over,349
1957,Total Male Indians,75 Years & Over,147
1957,Total Male Indians,80 Years & Over,56
1957,Total Male Indians,85 Years & Over,20
1957,Total Female Indians,0  -  4 Years,9242
1957,Total Female Indians,5  -  9 Years,7189
1957,Total Female Indians,10 - 14 Years,3347
1957,Total Female Indians,15 - 19 Years,3276
1957,Total Female Indians,20 - 24 Years,3780
1957,Total Female Indians,25 - 29 Years,3518
1957,Total Female Indians,30 - 34 Years,2374
1957,Total Female Indians,35 - 39 Years,1933
1957,Total Female Indians,40 - 44 Years,1171
1957,Total Female Indians,45 - 49 Years,837
1957,Total Female Indians,50 - 54 Years,531
1957,Total Female Indians,55 - 59 Years,394
1957,Total Female Indians,60 - 64 Years,231
1957,Total Female Indians,65 - 69 Years,135
1957,Total Female Indians,70 - 74 Years,78
1957,Total Female Indians,75 - 79 Years,20
1957,Total Female Indians,80 - 84 Years,21
1957,Total Female Indians,65 Years & Over,273
1957,Total Female Indians,70 Years & Over,138
1957,Total Female Indians,75 Years & Over,60
1957,Total Female Indians,80 Years & Over,40
1957,Total Female Indians,85 Years & Over,19
1957,Other Ethnic Groups (Total),0  -  4 Years,4965
1957,Other Ethnic Groups (Total),5  -  9 Years,4375
1957,Other Ethnic Groups (Total),10 - 14 Years,2220
1957,Other Ethnic Groups (Total),15 - 19 Years,2316
1957,Other Ethnic Groups (Total),20 - 24 Years,2757
1957,Other Ethnic Groups (Total),25 - 29 Years,3267
1957,Other Ethnic Groups (Total),30 - 34 Years,3430
1957,Other Ethnic Groups (Total),35 - 39 Years,2884
1957,Other Ethnic Groups (Total),40 - 44 Years,2171
1957,Other Ethnic Groups (Total),45 - 49 Years,1783
1957,Other Ethnic Groups (Total),50 - 54 Years,1444
1957,Other Ethnic Groups (Total),55 - 59 Years,1018
1957,Other Ethnic Groups (Total),60 - 64 Years,608
1957,Other Ethnic Groups (Total),65 - 69 Years,440
1957,Other Ethnic Groups (Total),70 - 74 Years,288
1957,Other Ethnic Groups (Total),75 - 79 Years,126
1957,Other Ethnic Groups (Total),80 - 84 Years,61
1957,Other Ethnic Groups (Total),65 Years & Over,952
1957,Other Ethnic Groups (Total),70 Years & Over,512
1957,Other Ethnic Groups (Total),75 Years & Over,224
1957,Other Ethnic Groups (Total),80 Years & Over,98
1957,Other Ethnic Groups (Total),85 Years & Over,37
1957,Other Ethnic Groups (Males),0  -  4 Years,2520
1957,Other Ethnic Groups (Males),5  -  9 Years,2247
1957,Other Ethnic Groups (Males),10 - 14 Years,1088
1957,Other Ethnic Groups (Males),15 - 19 Years,1066
1957,Other Ethnic Groups (Males),20 - 24 Years,1390
1957,Other Ethnic Groups (Males),25 - 29 Years,1740
1957,Other Ethnic Groups (Males),30 - 34 Years,1869
1957,Other Ethnic Groups (Males),35 - 39 Years,1619
1957,Other Ethnic Groups (Males),40 - 44 Years,1242
1957,Other Ethnic Groups (Males),45 - 49 Years,987
1957,Other Ethnic Groups (Males),50 - 54 Years,837
1957,Other Ethnic Groups (Males),55 - 59 Years,541
1957,Other Ethnic Groups (Males),60 - 64 Years,291
1957,Other Ethnic Groups (Males),65 - 69 Years,216
1957,Other Ethnic Groups (Males),70 - 74 Years,123
1957,Other Ethnic Groups (Males),75 - 79 Years,52
1957,Other Ethnic Groups (Males),80 - 84 Years,20
1957,Other Ethnic Groups (Males),65 Years & Over,423
1957,Other Ethnic Groups (Males),70 Years & Over,207
1957,Other Ethnic Groups (Males),75 Years & Over,84
1957,Other Ethnic Groups (Males),80 Years & Over,32
1957,Other Ethnic Groups (Males),85 Years & Over,12
1957,Other Ethnic Groups (Females),0  -  4 Years,2445
1957,Other Ethnic Groups (Females),5  -  9 Years,2128
1957,Other Ethnic Groups (Females),10 - 14 Years,1132
1957,Other Ethnic Groups (Females),15 - 19 Years,1250
1957,Other Ethnic Groups (Females),20 - 24 Years,1367
1957,Other Ethnic Groups (Females),25 - 29 Years,1527
1957,Other Ethnic Groups (Females),30 - 34 Years,1561
1957,Other Ethnic Groups (Females),35 - 39 Years,1265
1957,Other Ethnic Groups (Females),40 - 44 Years,929
1957,Other Ethnic Groups (Females),45 - 49 Years,796
1957,Other Ethnic Groups (Females),50 - 54 Years,607
1957,Other Ethnic Groups (Females),55 - 59 Years,477
1957,Other Ethnic Groups (Females),60 - 64 Years,317
1957,Other Ethnic Groups (Females),65 - 69 Years,224
1957,Other Ethnic Groups (Females),70 - 74 Years,165
1957,Other Ethnic Groups (Females),75 - 79 Years,74
1957,Other Ethnic Groups (Females),80 - 84 Years,41
1957,Other Ethnic Groups (Females),65 Years & Over,529
1957,Other Ethnic Groups (Females),70 Years & Over,305
1957,Other Ethnic Groups (Females),75 Years & Over,140
1957,Other Ethnic Groups (Females),80 Years & Over,66
1957,Other Ethnic Groups (Females),85 Years & Over,25
1958,Total Residents,0  -  4 Years,277800
1958,Total Residents,5  -  9 Years,229600
1958,Total Residents,10 - 14 Years,157100
1958,Total Residents,15 - 19 Years,134300
1958,Total Residents,20 - 24 Years,124900
1958,Total Residents,25 - 29 Years,114700
1958,Total Residents,30 - 34 Years,95100
1958,Total Residents,35 - 39 Years,84300
1958,Total Residents,40 - 44 Years,77500
1958,Total Residents,45 - 49 Years,69300
1958,Total Residents,50 - 54 Years,54200
1958,Total Residents,55 - 59 Years,40400
1958,Total Residents,60 - 64 Years,25900
1958,Total Residents,65 - 69 Years,17100
1958,Total Residents,70 - 74 Years,na
1958,Total Residents,75 - 79 Years,na
1958,Total Residents,80 - 84 Years,na
1958,Total Residents,65 Years & Over,33700
1958,Total Residents,70 Years & Over,16600
1958,Total Residents,75 Years & Over,na
1958,Total Residents,80 Years & Over,na
1958,Total Residents,85 Years & Over,na
1958,Total Male Residents,0  -  4 Years,142900
1958,Total Male Residents,5  -  9 Years,118100
1958,Total Male Residents,10 - 14 Years,81500
1958,Total Male Residents,15 - 19 Years,69600
1958,Total Male Residents,20 - 24 Years,63600
1958,Total Male Residents,25 - 29 Years,61000
1958,Total Male Residents,30 - 34 Years,52400
1958,Total Male Residents,35 - 39 Years,47200
1958,Total Male Residents,40 - 44 Years,43400
1958,Total Male Residents,45 - 49 Years,39300
1958,Total Male Residents,50 - 54 Years,30000
1958,Total Male Residents,55 - 59 Years,22400
1958,Total Male Residents,60 - 64 Years,13000
1958,Total Male Residents,65 - 69 Years,7700
1958,Total Male Residents,70 - 74 Years,na
1958,Total Male Residents,75 - 79 Years,na
1958,Total Male Residents,80 - 84 Years,na
1958,Total Male Residents,65 Years & Over,13200
1958,Total Male Residents,70 Years & Over,5500
1958,Total Male Residents,75 Years & Over,na
1958,Total Male Residents,80 Years & Over,na
1958,Total Male Residents,85 Years & Over,na
1958,Total Female Residents,0  -  4 Years,134900
1958,Total Female Residents,5  -  9 Years,111500
1958,Total Female Residents,10 - 14 Years,75600
1958,Total Female Residents,15 - 19 Years,64700
1958,Total Female Residents,20 - 24 Years,61300
1958,Total Female Residents,25 - 29 Years,53700
1958,Total Female Residents,30 - 34 Years,42700
1958,Total Female Residents,35 - 39 Years,37100
1958,Total Female Residents,40 - 44 Years,34100
1958,Total Female Residents,45 - 49 Years,30000
1958,Total Female Residents,50 - 54 Years,24200
1958,Total Female Residents,55 - 59 Years,18000
1958,Total Female Residents,60 - 64 Years,12900
1958,Total Female Residents,65 - 69 Years,9400
1958,Total Female Residents,70 - 74 Years,na
1958,Total Female Residents,75 - 79 Years,na
1958,Total Female Residents,80 - 84 Years,na
1958,Total Female Residents,65 Years & Over,20500
1958,Total Female Residents,70 Years & Over,11100
1958,Total Female Residents,75 Years & Over,na
1958,Total Female Residents,80 Years & Over,na
1958,Total Female Residents,85 Years & Over,na
1958,Total Malays,0  -  4 Years,45100
1958,Total Malays,5  -  9 Years,32100
1958,Total Malays,10 - 14 Years,19600
1958,Total Malays,15 - 19 Years,16400
1958,Total Malays,20 - 24 Years,21400
1958,Total Malays,25 - 29 Years,18400
1958,Total Malays,30 - 34 Years,15200
1958,Total Malays,35 - 39 Years,12300
1958,Total Malays,40 - 44 Years,8500
1958,Total Malays,45 - 49 Years,6500
1958,Total Malays,50 - 54 Years,4800
1958,Total Malays,55 - 59 Years,3400
1958,Total Malays,60 - 64 Years,2300
1958,Total Malays,65 - 69 Years,1200
1958,Total Malays,70 - 74 Years,na
1958,Total Malays,75 - 79 Years,na
1958,Total Malays,80 - 84 Years,na
1958,Total Malays,65 Years & Over,3000
1958,Total Malays,70 Years & Over,1800
1958,Total Malays,75 Years & Over,na
1958,Total Malays,80 Years & Over,na
1958,Total Malays,85 Years & Over,na
1958,Total Male Malays,0  -  4 Years,22700
1958,Total Male Malays,5  -  9 Years,15900
1958,Total Male Malays,10 - 14 Years,9900
1958,Total Male Malays,15 - 19 Years,7800
1958,Total Male Malays,20 - 24 Years,10900
1958,Total Male Malays,25 - 29 Years,9900
1958,Total Male Malays,30 - 34 Years,8700
1958,Total Male Malays,35 - 39 Years,7300
1958,Total Male Malays,40 - 44 Years,4900
1958,Total Male Malays,45 - 49 Years,3600
1958,Total Male Malays,50 - 54 Years,2700
1958,Total Male Malays,55 - 59 Years,2100
1958,Total Male Malays,60 - 64 Years,1200
1958,Total Male Malays,65 - 69 Years,700
1958,Total Male Malays,70 - 74 Years,na
1958,Total Male Malays,75 - 79 Years,na
1958,Total Male Malays,80 - 84 Years,na
1958,Total Male Malays,65 Years & Over,1500
1958,Total Male Malays,70 Years & Over,800
1958,Total Male Malays,75 Years & Over,na
1958,Total Male Malays,80 Years & Over,na
1958,Total Male Malays,85 Years & Over,na
1958,Total Female Malays,0  -  4 Years,22400
1958,Total Female Malays,5  -  9 Years,16200
1958,Total Female Malays,10 - 14 Years,9700
1958,Total Female Malays,15 - 19 Years,8600
1958,Total Female Malays,20 - 24 Years,10500
1958,Total Female Malays,25 - 29 Years,8500
1958,Total Female Malays,30 - 34 Years,6500
1958,Total Female Malays,35 - 39 Years,5000
1958,Total Female Malays,40 - 44 Years,3600
1958,Total Female Malays,45 - 49 Years,2900
1958,Total Female Malays,50 - 54 Years,2100
1958,Total Female Malays,55 - 59 Years,1300
1958,Total Female Malays,60 - 64 Years,1100
1958,Total Female Malays,65 - 69 Years,500
1958,Total Female Malays,70 - 74 Years,na
1958,Total Female Malays,75 - 79 Years,na
1958,Total Female Malays,80 - 84 Years,na
1958,Total Female Malays,65 Years & Over,1500
1958,Total Female Malays,70 Years & Over,1000
1958,Total Female Malays,75 Years & Over,na
1958,Total Female Malays,80 Years & Over,na
1958,Total Female Malays,85 Years & Over,na
1958,Total Chinese,0  -  4 Years,207500
1958,Total Chinese,5  -  9 Years,178200
1958,Total Chinese,10 - 14 Years,125900
1958,Total Chinese,15 - 19 Years,107600
1958,Total Chinese,20 - 24 Years,91900
1958,Total Chinese,25 - 29 Years,79300
1958,Total Chinese,30 - 34 Years,63800
1958,Total Chinese,35 - 39 Years,56900
1958,Total Chinese,40 - 44 Years,57400
1958,Total Chinese,45 - 49 Years,54100
1958,Total Chinese,50 - 54 Years,43700
1958,Total Chinese,55 - 59 Years,32800
1958,Total Chinese,60 - 64 Years,21800
1958,Total Chinese,65 - 69 Years,14900
1958,Total Chinese,70 - 74 Years,na
1958,Total Chinese,75 - 79 Years,na
1958,Total Chinese,80 - 84 Years,na
1958,Total Chinese,65 Years & Over,28600
1958,Total Chinese,70 Years & Over,13700
1958,Total Chinese,75 Years & Over,na
1958,Total Chinese,80 Years & Over,na
1958,Total Chinese,85 Years & Over,na
1958,Total Male Chinese,0  -  4 Years,107600
1958,Total Male Chinese,5  -  9 Years,92400
1958,Total Male Chinese,10 - 14 Years,65500
1958,Total Male Chinese,15 - 19 Years,55600
1958,Total Male Chinese,20 - 24 Years,46200
1958,Total Male Chinese,25 - 29 Years,39200
1958,Total Male Chinese,30 - 34 Years,31600
1958,Total Male Chinese,35 - 39 Years,28100
1958,Total Male Chinese,40 - 44 Years,29200
1958,Total Male Chinese,45 - 49 Years,28700
1958,Total Male Chinese,50 - 54 Years,22800
1958,Total Male Chinese,55 - 59 Years,17000
1958,Total Male Chinese,60 - 64 Years,10500
1958,Total Male Chinese,65 - 69 Years,6400
1958,Total Male Chinese,70 - 74 Years,na
1958,Total Male Chinese,75 - 79 Years,na
1958,Total Male Chinese,80 - 84 Years,na
1958,Total Male Chinese,65 Years & Over,10500
1958,Total Male Chinese,70 Years & Over,4100
1958,Total Male Chinese,75 Years & Over,na
1958,Total Male Chinese,80 Years & Over,na
1958,Total Male Chinese,85 Years & Over,na
1958,Total Female Chinese,0  -  4 Years,99900
1958,Total Female Chinese,5  -  9 Years,85800
1958,Total Female Chinese,10 - 14 Years,60400
1958,Total Female Chinese,15 - 19 Years,52000
1958,Total Female Chinese,20 - 24 Years,45700
1958,Total Female Chinese,25 - 29 Years,40100
1958,Total Female Chinese,30 - 34 Years,32200
1958,Total Female Chinese,35 - 39 Years,28800
1958,Total Female Chinese,40 - 44 Years,28200
1958,Total Female Chinese,45 - 49 Years,25400
1958,Total Female Chinese,50 - 54 Years,20900
1958,Total Female Chinese,55 - 59 Years,15800
1958,Total Female Chinese,60 - 64 Years,11300
1958,Total Female Chinese,65 - 69 Years,8500
1958,Total Female Chinese,70 - 74 Years,na
1958,Total Female Chinese,75 - 79 Years,na
1958,Total Female Chinese,80 - 84 Years,na
1958,Total Female Chinese,65 Years & Over,18100
1958,Total Female Chinese,70 Years & Over,9600
1958,Total Female Chinese,75 Years & Over,na
1958,Total Female Chinese,80 Years & Over,na
1958,Total Female Chinese,85 Years & Over,na
1958,Total Indians,0  -  4 Years,21000
1958,Total Indians,5  -  9 Years,15600
1958,Total Indians,10 - 14 Years,9400
1958,Total Indians,15 - 19 Years,8400
1958,Total Indians,20 - 24 Years,9600
1958,Total Indians,25 - 29 Years,14500
1958,Total Indians,30 - 34 Years,13200
1958,Total Indians,35 - 39 Years,12700
1958,Total Indians,40 - 44 Years,9700
1958,Total Indians,45 - 49 Years,7300
1958,Total Indians,50 - 54 Years,4400
1958,Total Indians,55 - 59 Years,3200
1958,Total Indians,60 - 64 Years,1200
1958,Total Indians,65 - 69 Years,600
1958,Total Indians,70 - 74 Years,na
1958,Total Indians,75 - 79 Years,na
1958,Total Indians,80 - 84 Years,na
1958,Total Indians,65 Years & Over,1100
1958,Total Indians,70 Years & Over,500
1958,Total Indians,75 Years & Over,na
1958,Total Indians,80 Years & Over,na
1958,Total Indians,85 Years & Over,na
1958,Total Male Indians,0  -  4 Years,10400
1958,Total Male Indians,5  -  9 Years,7800
1958,Total Male Indians,10 - 14 Years,5000
1958,Total Male Indians,15 - 19 Years,5300
1958,Total Male Indians,20 - 24 Years,5600
1958,Total Male Indians,25 - 29 Years,10600
1958,Total Male Indians,30 - 34 Years,10600
1958,Total Male Indians,35 - 39 Years,10600
1958,Total Male Indians,40 - 44 Years,8300
1958,Total Male Indians,45 - 49 Years,6400
1958,Total Male Indians,50 - 54 Years,3800
1958,Total Male Indians,55 - 59 Years,2800
1958,Total Male Indians,60 - 64 Years,1000
1958,Total Male Indians,65 - 69 Years,500
1958,Total Male Indians,70 - 74 Years,na
1958,Total Male Indians,75 - 79 Years,na
1958,Total Male Indians,80 - 84 Years,na
1958,Total Male Indians,65 Years & Over,900
1958,Total Male Indians,70 Years & Over,400
1958,Total Male Indians,75 Years & Over,na
1958,Total Male Indians,80 Years & Over,na
1958,Total Male Indians,85 Years & Over,na
1958,Total Female Indians,0  -  4 Years,10600
1958,Total Female Indians,5  -  9 Years,7800
1958,Total Female Indians,10 - 14 Years,4400
1958,Total Female Indians,15 - 19 Years,3100
1958,Total Female Indians,20 - 24 Years,4000
1958,Total Female Indians,25 - 29 Years,3900
1958,Total Female Indians,30 - 34 Years,2600
1958,Total Female Indians,35 - 39 Years,2100
1958,Total Female Indians,40 - 44 Years,1400
1958,Total Female Indians,45 - 49 Years,900
1958,Total Female Indians,50 - 54 Years,600
1958,Total Female Indians,55 - 59 Years,400
1958,Total Female Indians,60 - 64 Years,200
1958,Total Female Indians,65 - 69 Years,100
1958,Total Female Indians,70 - 74 Years,na
1958,Total Female Indians,75 - 79 Years,na
1958,Total Female Indians,80 - 84 Years,na
1958,Total Female Indians,65 Years & Over,200
1958,Total Female Indians,70 Years & Over,100
1958,Total Female Indians,75 Years & Over,na
1958,Total Female Indians,80 Years & Over,na
1958,Total Female Indians,85 Years & Over,na
1958,Other Ethnic Groups (Total),0  -  4 Years,4200
1958,Other Ethnic Groups (Total),5  -  9 Years,3700
1958,Other Ethnic Groups (Total),10 - 14 Years,2200
1958,Other Ethnic Groups (Total),15 - 19 Years,1900
1958,Other Ethnic Groups (Total),20 - 24 Years,2000
1958,Other Ethnic Groups (Total),25 - 29 Years,2500
1958,Other Ethnic Groups (Total),30 - 34 Years,2900
1958,Other Ethnic Groups (Total),35 - 39 Years,2400
1958,Other Ethnic Groups (Total),40 - 44 Years,1900
1958,Other Ethnic Groups (Total),45 - 49 Years,1400
1958,Other Ethnic Groups (Total),50 - 54 Years,1300
1958,Other Ethnic Groups (Total),55 - 59 Years,1000
1958,Other Ethnic Groups (Total),60 - 64 Years,600
1958,Other Ethnic Groups (Total),65 - 69 Years,400
1958,Other Ethnic Groups (Total),70 - 74 Years,na
1958,Other Ethnic Groups (Total),75 - 79 Years,na
